surface,status,http_status,details_json
branch_protection,present,,"{""allow_deletions"":{""enabled"":false},""allow_force_pushes"":{""enabled"":false},""allow_fork_syncing"":{""enabled"":false},""block_creations"":{""enabled"":false},""enforce_admins"":{""enabled"":true,""url"":""https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/main/protection/enforce_admins""},""lock_branch"":{""enabled"":false},""required_conversation_resolution"":{""enabled"":true},""required_linear_history"":{""enabled"":false},""required_pull_request_reviews"":{""dismiss_stale_reviews"":false,""require_code_owner_reviews"":false,""require_last_push_approval"":false,""required_approving_review_count"":0,""url"":""https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/main/protection/required_pull_request_reviews""},""required_signatures"":{""enabled"":false,""url"":""https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/main/protection/required_signatures""},""required_status_checks"":{""checks"":[],""contexts"":[],""contexts_url"":""https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/main/protection/required_status_checks/contexts"",""strict"":true,""url"":""https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/main/protection/required_status_checks""},""url"":""https://api.github.com/repos/trading-optimizer-lab-org/aurora/branches/main/protection""}"
repository_visibility,public,,"{""archived"":false,""private"":false}"
rulesets,absent,,[]
