artifact_id,run_id,name,size_in_bytes,digest,expired,created_at,updated_at,expires_at,archive_download_url,critical_reason,metadata_match,metadata_errors
7785925508,27936694743,free-global-yahoo-price-shard-30,106172537,sha256:47176d5dad7db29cd97b1c826c133275e92daf1d78f55c6af1ff8e6baa85ab91,true,2026-06-22T07:37:51Z,2026-06-22T07:37:51Z,2026-07-06T07:37:43Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785925508/zip,known_run:27936694743,true,
7785925701,27936694743,free-global-yahoo-price-shard-15,108744862,sha256:788112ad25fe21ce9a7cd0591867945c1708c6e00bbaf4b359f83434b0edb507,true,2026-06-22T07:37:52Z,2026-06-22T07:37:52Z,2026-07-06T07:37:44Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785925701/zip,known_run:27936694743,true,
7785926584,27936694743,free-global-yahoo-price-shard-20,107409729,sha256:da1471dba6108173ef35c72b30d72fe87bea665e4253483084f0d0ac4b3d52aa,true,2026-06-22T07:37:55Z,2026-06-22T07:37:55Z,2026-07-06T07:37:48Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785926584/zip,known_run:27936694743,true,
7785926935,27936694743,free-global-yahoo-price-shard-7,107974037,sha256:0a6a1d7feee7660814b240495598d5bc65bf3658e577b5137a01270b7f870aa7,true,2026-06-22T07:37:56Z,2026-06-22T07:37:56Z,2026-07-06T07:37:48Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785926935/zip,known_run:27936694743,true,
7785930000,27936694743,free-global-yahoo-price-shard-9,111402229,sha256:eabbb798d699126f227d4c65190256c8451ea38f3ec415861193d160c2e2382e,true,2026-06-22T07:38:06Z,2026-06-22T07:38:06Z,2026-07-06T07:37:58Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785930000/zip,known_run:27936694743,true,
7785938328,27936694743,free-global-yahoo-price-shard-22,112208129,sha256:0c2cabefa6005d4583e71937e427de66632695b5be5c1d1631079ed651611fe3,true,2026-06-22T07:38:34Z,2026-06-22T07:38:34Z,2026-07-06T07:38:27Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785938328/zip,known_run:27936694743,true,
7785941306,27936694743,free-global-yahoo-price-shard-0,117086241,sha256:0e1f0f99fd45bf95f45ceeb2e55b5278e7db2619996487cff1e979a189509905,true,2026-06-22T07:38:44Z,2026-06-22T07:38:44Z,2026-07-06T07:38:35Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785941306/zip,known_run:27936694743,true,
7785942394,27936694743,free-global-yahoo-price-shard-16,111732524,sha256:78f49ea0f81f3f31d642958e3d7973f367676a899cacbe5826999fa340cd4a2d,true,2026-06-22T07:38:47Z,2026-06-22T07:38:47Z,2026-07-06T07:38:39Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785942394/zip,known_run:27936694743,true,
7785943920,27936694743,free-global-yahoo-price-shard-8,106868073,sha256:88be66875386b0baf2f452931f4c3d5760f78da75d9b3b6a14e414954f12dcc0,true,2026-06-22T07:38:53Z,2026-06-22T07:38:53Z,2026-07-06T07:38:45Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785943920/zip,known_run:27936694743,true,
7785947530,27936694743,free-global-yahoo-price-shard-18,105961548,sha256:becdcdb05117b1224d04df7fb6c0684029815b50cd378973d43b888dcb32b606,true,2026-06-22T07:39:04Z,2026-06-22T07:39:04Z,2026-07-06T07:38:55Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785947530/zip,known_run:27936694743,true,
7785950018,27936694743,free-global-yahoo-price-shard-17,108449154,sha256:ad4f48af04c5ae386d5bc48ebdf42a5f4f46af5d6d2e7aed70a60e1b41efd620,true,2026-06-22T07:39:12Z,2026-06-22T07:39:12Z,2026-07-06T07:39:03Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785950018/zip,known_run:27936694743,true,
7785950282,27936694743,free-global-yahoo-price-shard-31,107438801,sha256:2207c5c7a60608a449b74b0fa586a3372420982350372590a20a30db23391e9b,true,2026-06-22T07:39:12Z,2026-06-22T07:39:12Z,2026-07-06T07:39:05Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785950282/zip,known_run:27936694743,true,
7785954327,27936694743,free-global-yahoo-price-shard-29,107119970,sha256:9cdac9eec6081b3a094434732b591977daa36a52a2ad85b611ee84c985724239,true,2026-06-22T07:39:25Z,2026-06-22T07:39:25Z,2026-07-06T07:39:17Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785954327/zip,known_run:27936694743,true,
7785960215,27936694743,free-global-yahoo-price-shard-5,112500533,sha256:17d4b64f55c71201c9f2ce9ae7a9b2f755acb5bcad479cfc2b3e5f1b014c7bfb,true,2026-06-22T07:39:45Z,2026-06-22T07:39:45Z,2026-07-06T07:39:37Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785960215/zip,known_run:27936694743,true,
7785961513,27936694743,free-global-yahoo-price-shard-12,105343738,sha256:c8807a58183005cf844fc097be3a1bb1f6627e082517d69e096db328e4d861e2,true,2026-06-22T07:39:50Z,2026-06-22T07:39:50Z,2026-07-06T07:39:42Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785961513/zip,known_run:27936694743,true,
7785962766,27936694743,free-global-yahoo-price-shard-13,111505260,sha256:c2cb9eb415e6e040e5394d647d1e5a70c7d924e8e2eb853ca6b7a5bf00693039,true,2026-06-22T07:39:54Z,2026-06-22T07:39:54Z,2026-07-06T07:39:46Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785962766/zip,known_run:27936694743,true,
7785963126,27936694743,free-global-yahoo-price-shard-6,109551580,sha256:8e3dfb161c1c10db27150557136a567377ec0ad6e278ac6ab48040551ff50385,true,2026-06-22T07:39:55Z,2026-06-22T07:39:55Z,2026-07-06T07:39:48Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785963126/zip,known_run:27936694743,true,
7785963409,27936694743,free-global-yahoo-price-shard-26,110101610,sha256:1a299b65b110795dbd3e7bfb6e9d49c0aa4097cf23d10fe0398c02015da0c899,true,2026-06-22T07:39:56Z,2026-06-22T07:39:56Z,2026-07-06T07:39:49Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7785963409/zip,known_run:27936694743,true,
7786141846,27936694743,free-global-yahoo-daily-data-lake,3184328263,sha256:965cf57e313e5a00c05404ca34b0f280a20915f0f802205a8d0f269df3755ec9,true,2026-06-22T07:49:26Z,2026-06-22T07:49:26Z,2026-07-06T07:45:36Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/7786141846/zip,known_run:27936694743,true,
8247340714,29148013009,gtbi-external-pack-data,375673933,sha256:f2704de81fabc9ffaa90684b936555a737b70f9d5a3204dfa7a13c40bd3c3ca6,true,2026-07-11T09:38:25Z,2026-07-11T09:38:25Z,2026-07-25T09:38:06Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/8247340714/zip,known_run:29148013009,true,
8247397723,29148013009,gtbi-external-pack-block-000,1581512,sha256:72568264ccbfaf6139a3dab367603b29bd42f72bca255a05a0b47b79c0ed88a7,true,2026-07-11T09:45:48Z,2026-07-11T09:45:48Z,2026-07-25T09:45:47Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/8247397723/zip,known_run:29148013009,true,
8247405145,29148013009,global-technical-buy-indicator-external-pack-72000-results,1427737,sha256:fd741397bfe944ab98297dde965303c2371fbf0a11a5b50bb15abaeb5a9e4969,false,2026-07-11T09:46:45Z,2026-07-11T09:46:45Z,2026-08-10T09:46:44Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/8247405145/zip,known_run:29148013009,true,
8251391531,29162930823,global-technical-buy-indicator-long-hold-fast-strict-v6-results,1962204087,sha256:870ab8a0ded260b7761b7c706c239c4fce712d2fd7f7c8fb1d41dc1dffedda5b,false,2026-07-11T18:17:52Z,2026-07-11T18:17:52Z,2026-08-10T18:16:37Z,https://api.github.com/repos/trading-optimizer-lab-org/aurora/actions/artifacts/8251391531/zip,v6_final_result,true,
