id,name,path,state,created_at,updated_at
290830496,Paper SPY Weekly Sharpe2 360 Jobs,.github/workflows/paper-spy-weekly-sharpe2-360jobs.yml,active,2026-06-07T17:30:57.000+02:00,2026-06-07T17:30:57.000+02:00
290847693,Paper SPY Daily Event Sharpe2 360 Jobs,.github/workflows/paper-spy-daily-event-sharpe2-360jobs.yml,active,2026-06-07T18:11:21.000+02:00,2026-06-07T18:11:21.000+02:00
290866132,Paper AQR Factor Sharpe2 360 Stages,.github/workflows/paper-aqr-factor-sharpe2-360stages.yml,active,2026-06-07T19:08:36.000+02:00,2026-06-07T19:08:36.000+02:00
290883386,Paper Operable Ensemble Sharpe2 360 Stages,.github/workflows/paper-operable-ensemble-sharpe2-360stages.yml,active,2026-06-07T20:07:05.000+02:00,2026-06-07T20:07:05.000+02:00
290896235,Paper CBOE Sentiment Sharpe2 360 Jobs,.github/workflows/paper-cboe-sentiment-sharpe2-360jobs.yml,active,2026-06-07T20:51:57.000+02:00,2026-06-07T20:51:57.000+02:00
290910798,Paper Sharpe2 Overnight 360 Jobs,.github/workflows/paper-sharpe2-overnight-360jobs.yml,active,2026-06-07T21:45:43.000+02:00,2026-06-07T21:45:43.000+02:00
291182451,Paper SPY Weekly Sharpe2 Quick 360 Jobs,.github/workflows/paper-spy-weekly-sharpe2-quick-360jobs.yml,active,2026-06-08T10:41:16.000+02:00,2026-06-08T10:41:16.000+02:00
291456200,Paper SPY Weekly Regime Sharpe2 Quick 360 Jobs,.github/workflows/paper-spy-weekly-regime-sharpe2-quick-360jobs.yml,active,2026-06-08T18:06:05.000+02:00,2026-06-08T18:06:05.000+02:00
291507685,Paper SPY Monthly Sharpe2 Quick 360 Jobs,.github/workflows/paper-spy-monthly-sharpe2-quick-360jobs.yml,active,2026-06-08T19:37:38.000+02:00,2026-06-08T19:37:38.000+02:00
291592222,Paper Sharpe2 Nightly 30min Until 0630,.github/workflows/paper-sharpe2-nightly-30min-until-0630.yml,active,2026-06-08T22:09:17.000+02:00,2026-06-08T22:09:17.000+02:00
291815617,SPY Daily Direction Funnel Top All Features 4 Waves 1h,.github/workflows/spy-daily-direction-funnel-top-all-features-4waves-1h.yml,active,2026-06-09T07:51:16.000+02:00,2026-06-09T07:51:16.000+02:00
292336646,Paper Sharpe2 Nightly Novel 30min Until 0630,.github/workflows/paper-sharpe2-nightly-novel-30min-until-0630.yml,active,2026-06-09T21:32:43.000+02:00,2026-06-09T21:32:43.000+02:00
292950796,Calmar GT1 PValue Bootstrap 173495,.github/workflows/calmar-gt1-pvalue-bootstrap-173495.yml,active,2026-06-10T14:36:36.000+02:00,2026-06-10T14:36:36.000+02:00
294915235,SPY monthly annual dominance 360 jobs,.github/workflows/spy-monthly-annual-dominance-360jobs.yml,active,2026-06-12T20:39:39.000+02:00,2026-06-12T20:39:39.000+02:00
295685692,SPY 15m Support Resistance 355 Jobs,.github/workflows/spy-15m-support-resistance-355jobs.yml,active,2026-06-14T11:07:08.000+02:00,2026-06-14T11:07:08.000+02:00
295705671,SPY 15m Support Resistance Free Max Retest,.github/workflows/spy-15m-support-resistance-2015-retest.yml,active,2026-06-14T12:14:45.000+02:00,2026-06-14T13:02:45.000+02:00
295743329,Free 15m Equity Universe Download,.github/workflows/free-15m-equity-universe-download.yml,active,2026-06-14T13:56:14.000+02:00,2026-06-14T13:56:14.000+02:00
