worktree_path_redacted,branch,head_sha,exists,prunable,locked,dirty,dirty_path_count,preservation_state,patch_count
<USER_HOME>/.codex/worktrees/openap-correlation-audit,codex/openap-correlation-audit,e74545cd8bb0f467cda2403525f7f086e2b63472,True,False,False,False,0,verified,0
<USER_HOME>/AURORA,codex/gtbi-github-only-external-pack-72000,4274ce1b5f2e259006ddaf0e630a4d1c2fabe899,True,False,False,True,333,verified,1
<USER_HOME>/AURORA-main-workflow-register,codex/register-calmar-gt1-pvalue-workflow,557d5cb775b9aaf5162d68c63993636a0c6f2bee,True,False,False,False,0,verified,0
<USER_HOME>/AURORA-main-worktree,main,e6115a05c56d1227ad4402ca46e776296403d21d,True,False,False,True,1,verified,0
<USER_HOME>/AURORA-openap-fix,codex/openap-startup-fix,aeb44245285224965111ba9cd70cacf1a9a76f98,True,False,False,False,0,verified,0
<USER_HOME>/AURORA-openap-main,codex/openap-current-main,e9ef78321e4728d07e5293f19ddd6fa44eaa33d7,True,False,False,False,0,verified,0
<USER_HOME>/AURORA-openap-runtimefix,codex/openap-full-data-quality-fix,ea50519906b7020c1b526251c5fecc79f82a87ba,True,False,False,True,6,verified,1
<USER_HOME>/AURORA-openap-secfix,codex/openap-sec-fallback,43f816ae6555455d05c9350a3f43dbce28b2ab85,True,False,False,False,0,verified,0
<USER_HOME>/AURORA/.claude/worktrees/ecstatic-hoover-61cddf,claude/ecstatic-hoover-61cddf,509c450e98f2a40335ae8e1d8097519314a6abfc,True,False,False,True,552,verified,1
<USER_HOME>/AURORA/.claude/worktrees/integration-r155-r158-from-backup,integration/r155-r158-from-backup,be95266e398ff9368020aa32fe3378703b112d16,True,False,False,True,381,verified,1
<USER_HOME>/AURORA/.claude/worktrees/integration-r159-r190-review,integration/r159-r190-review,48343a2926e4912691d56d75900fdff45f2d8550,True,False,False,True,380,verified,1
<USER_HOME>/AURORA/.claude/worktrees/loving-ishizaka-96d02d,claude/loving-ishizaka-96d02d,48765cf93ffed04c1c9cc84a953b843cf33609a5,True,False,False,True,362,verified,1
<USER_HOME>/AURORA_GH360,codex/spy-annual-dominance-360,03326e1e748da70c89a4a74a133d7d66a7547989,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_locked_workflow,,59afd2688bde71290a7f6311e31b0173d49026f0,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_merge,codex/gtbi-github-only-external-pack-72000-clean,13f59f7caed920be4df73b5aa5516f51c7175183,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_asset_contract,codex/gtbi-v7-asset-contract,ceb40bd269a4994bd60065347ac6430194913e43,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_ci_subprocess_timeout,codex/gtbi-v7-ci-subprocess-timeout,1b19c7ee8b8f7fd01d62c2725e26abfd8f8153eb,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_codeowners,codex/gtbi-v7-owner-codeowners,5accc397219a5ec1ebe8e23c38da71e19288ce0c,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_g2_integrated,codex/gtbi-v7-g2-integrated,4c7f3da8a664389b3cf76c004c7109c569e97ed0,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_g3a_owner_auth,codex/gtbi-v7-g3a-owner-auth-reconciliation,96ef77838182372572d9926642ff8021ce301369,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_g3a_state,gtbi-readiness-state/g3a-owner-auth-close-v1-30636646934,543be37a28597ec0f9c8cbbf380975bc7afe1a0a,True,False,False,False,0,verified,0
<USER_HOME>/AURORA_gtbi_v7_g3b_reconcile,codex/gtbi-v7-g3b-codeowners-reconciliation,539eaf866dd2da61627ff891ac42b5d8d597c9f7,True,False,False,False,0,verified,0
